,Loser,Winner
40,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/465378,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jshih468
41,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12878047,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12886758
42,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/E2017103111585357,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020390
43,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Shingchin,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/52616
44,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/21761611616616161,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034098
45,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12901088,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Khoihuynh
46,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/SJSU,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018942
47,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12872751,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018943
48,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/roblee04,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/855963231
49,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/004121482,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/lucbui10
50,/player/Eric Sheng,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12898265
51,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12910220,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/6452
52,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034098,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47570
53,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020038,/player/Caleb Chiang
54,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12875415,/player/Tristan Garcia
55,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12898265,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/HamWix
56,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12880700,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/52616
57,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12859713,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/E2017103111585357
58,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12895668,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/41019556
59,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/041903,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/149058
60,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jshih468,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020390
61,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/00002,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47570
62,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12898361,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033386
63,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12851783,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12835249
64,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12905401,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/lucbui10
65,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12910220,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/00002
66,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/135,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Khoihuynh
67,/player/Tristan Garcia,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018942
68,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/52616,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/HamWix
69,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/E2017103111585357,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018943
70,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Yes,/player/Sam Vuong
71,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47570,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/lucbui10
72,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12886452,/player/Patricia Tran
73,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12870250,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12825427
74,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12825432,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12859713
75,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12843777,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12895668
76,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12838387,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/004121482
77,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/203041,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12900576
78,/player/Sam Vuong,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/MichaelCabebe
79,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12892761,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033386
80,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12838387,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5184344
81,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47570,/player/Caleb Chiang
82,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/149058,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/41019556
83,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020390,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/855963231
84,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/lucbui10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/6452
85,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018943,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12892615
